booking_id,hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,arrival_date,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests
HB-000924,Resort Hotel,1,118,2023,August,31,6,2023-08-06,0,3,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,120.6,0,0
HB-004486,Resort Hotel,1,20,2024,March,12,20,2024-03-20,2,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,60.0,0,2
HB-112184,City Hotel,0,28,2025,May,20,18,2025-05-18,0,3,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,190.0,0,1
HB-019323,Resort Hotel,0,5,2023,December,49,10,2023-12-10,1,3,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,156.0,,0,Transient,42.75,0,0
HB-005173,Resort Hotel,1,32,2024,April,16,19,2024-04-19,2,5,2,0.0,0,HB,PRT,Groups,Direct,0,0,0,D,D,0,No Deposit,273.0,,0,Transient-Party,69.36,0,0
HB-113423,City Hotel,0,11,2025,June,23,5,2025-06-05,1,1,2,1.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9.0,,0,Transient,170.0,0,2
HB-083793,City Hotel,0,2,2024,February,7,12,2024-02-12,0,1,2,0.0,0,BB,PRT,Complementary,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient,2.0,0,0
HB-003291,Resort Hotel,1,58,2023,December,49,4,2023-12-04,0,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,41.4,0,0
HB-034278,Resort Hotel,0,186,2025,February,9,25,2025-02-25,6,15,1,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,75.0,,0,Transient,36.55,0,1
HB-053332,City Hotel,1,15,2024,June,25,17,2024-06-17,2,2,3,0.0,0,BB,IND,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,177.0,0,0
HB-088134,City Hotel,0,56,2024,April,18,30,2024-04-30,0,1,3,0.0,0,BB,ARG,Direct,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient,142.1,0,0
